learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
1c969ee2-a9b2-4465-9c5c-7fe068f2795c,2017-04-10 17:05:35 UTC,2017-06-02 17:39:13 UTC,learner,,,female,PR,Unknown,university_degree,self_employed,charities_and_voluntary_work,PR
72c3c7e9-23c0-41ad-aa89-183d464574ff,2017-06-02 12:20:42 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
cd118beb-8cab-4633-9cad-5d9e47b50593,2017-04-06 18:59:10 UTC,,learner,2017-05-15 18:04:13 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
9c3503eb-17cc-4f57-b149-f71629b4a5c7,2017-04-24 14:39:11 UTC,,learner,2017-05-16 12:56:47 UTC,,female,GB,<18,less_than_secondary,full_time_student,Unknown,GB
2305be01-6fb5-434e-88c3-b14e975dba32,2017-06-02 12:33:55 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SA
98161cb1-31a8-4fc7-a21a-9942cc65c62a,2017-06-02 14:51:27 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IT
16521410-0da5-439d-a703-79ec99db7e81,2017-04-24 09:47:21 UTC,2017-06-02 07:33:18 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ZA
e894ca06-ce13-423b-9246-378aa97cb483,2017-04-22 21:11:42 UTC,2017-06-02 05:07:56 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
d7b73205-8d1d-463a-a238-670a002a1753,2017-04-25 14:35:57 UTC,,learner,2017-05-15 15:06:48 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
f65f0290-9cd3-48a2-b033-6af764ea1528,2017-04-25 14:31:36 UTC,,learner,2017-05-11 14:45:52 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
ed6ab255-164f-4520-9b1d-77b8965c2396,2017-04-25 14:31:26 UTC,,learner,2017-05-11 14:50:13 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
2c16e7d6-f7e0-460c-bb11-6dfc2d450dbf,2017-04-25 14:35:14 UTC,,learner,2017-05-11 14:56:20 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
046ad660-9165-4d10-83af-053e34569514,2017-04-25 14:32:30 UTC,,learner,2017-05-11 14:48:34 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
55d8eb62-927e-4d74-888c-59aa86ee4fd9,2017-03-01 11:11:47 UTC,,learner,2017-06-01 11:17:34 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
